block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,121.9858162,-402.17703863,26373407.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,24.3865333938,288.804834099,Aantiquecigar.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-358.468024854,195.462259389,Atennisball2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-259.20456416,338.932705259,26374055.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-259.20456416,338.932705259,26374055.thl.png,Ababseat2.png,0,0,1,1.05468182731,-295,293,58.2333807993,1.73595846072
1,2,study,1,384.389137794,126.495724148,ABANJO5.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,-144.480664681,377.043117649,Acampingcoffe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,384.389137794,126.495724148,ABANJO5.png,ACOMB5.png,1,1,1,1.31444303086,359,122,25.7841007897,2.2705899612
1,2,test1,2,-144.480664681,377.043117649,Acampingcoffe.png,Apinkshoe.png,0,0,1,1.46626711171,-70,334,86.0237141038,1.85203080252
1,2,test1,10,24.3865333938,288.804834099,Aantiquecigar.png,Adress6.png,0,0,1,1.24404855864,0,270,30.7948826341,2.89325594809
1,2,study,24,229.068720258,209.484929515,Aboots56.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,29.4678632941,152.917131043,AFILEFOL4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-15.9645621494,204.56827888,26387690.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,-313.485161335,-66.3280793021,Acalligraphy2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-95.2622305503,125.770372277,26688546.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-313.485161335,-66.3280793021,Acalligraphy2.png,23041782.thl.png,1,1,1,1.40414020885,-275,-93,46.8241283605,1.89108323772
1,2,study,25,238.957672775,-38.8180585292,ADRESS2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-229.485466632,-157.220438996,Acamcorde.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-370.105621702,-47.9676021171,Aboxofchocola.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,121.9858162,-402.17703863,26373407.thl.png,8021822.thl.png,1,1,1,1.05662967497,197,-342,96.1686214392,1.78831918631
1,2,test1,23,-358.468024854,195.462259389,Atennisball2.png,ACAMLENSE.png,1,1,1,1.32951488858,-346,179,20.6508505382,1.93631565245
1,2,study,2,-166.46889037,-261.968478667,Acannedaspa10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,12,-15.9645621494,204.56827888,26387690.thl.png,Aelectronicor.png,0,0,1,1.18761872174,-17,186,18.5971264478,1.98675215431
1,2,test1,2,-166.46889037,-261.968478667,Acannedaspa10.png,8055181.thl.png,1,1,1,1.09300039709,-164,-199,63.0168606434,2.01238800026
1,2,study,11,73.3775484712,-271.310385829,ALACES4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,-229.485466632,-157.220438996,Acamcorde.png,AADDBOOK.png,1,1,1,1.83049484063,-299,-75,107.668337677,2.43702767463
1,2,test1,12,-370.105621702,-47.9676021171,Aboxofchocola.png,Ababytableand.png,0,0,1,1.54299710691,-354,-34,21.3186528491,1.83989566471
1,2,study,10,159.63978569,-136.010284708,excedrin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,229.068720258,209.484929515,Aboots56.png,ACURLER.png,0,0,1,0.993737997953,350,153,133.472550295,1.30609145435
1,2,test1,25,29.4678632941,152.917131043,AFILEFOL4.png,22908308.thl.png,0,0,1,1.24294186244,92,99,82.5670947832,1.70252678869
1,2,test1,24,-95.2622305503,125.770372277,26688546.thl.png,26394018.thl.png,0,0,1,1.07625208609,-116,94,37.9395787584,1.77862881776
1,2,test1,11,73.3775484712,-271.310385829,ALACES4.png,AGLASSCAS.png,1,1,1,1.22069995338,88,-256,21.1713013994,1.5379144433
1,2,test1,25,238.957672775,-38.8180585292,ADRESS2.png,Asandal7.png,0,0,1,0.97381082084,161,-112,106.925185536,1.78778298665
1,2,test1,10,159.63978569,-136.010284708,excedrin.png,26424075.thl.png,1,1,1,1.15034035593,154,-188,52.2947194159,1.85235741083
1,2,study,0,278.003940098,287.408811215,Adice10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,278.003940098,287.408811215,Adice10.png,Acompactdisc2.png,0,0,1,1.09682989446,294,247,43.4597049718,1.52518509794
1,2,study,0,-16.4730242881,-286.250716489,DSCN6303-sm.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-16.4730242881,-286.250716489,DSCN6303-sm.png,Ahandbag50.png,0,0,1,1.08280019276,-36,-233,56.7180887112,1.82596013322
1,2,study,23,216.990094484,-297.357499898,Agreencup2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,190.077147286,-249.994453413,ALUNCHBO3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-65.834902934,-194.90226375,AELEAGEN3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,394.576905526,46.2774249429,AAGATE.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,394.576905526,46.2774249429,AAGATE.png,Agrater10.png,1,1,1,1.04962443886,399,40,7.67918150837,1.6994616501
1,2,study,23,351.525728106,85.4244918239,AHUNTVES2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,191.965302836,111.716756855,Acane116.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,362.500644394,197.161640623,Aclamp62.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,149.121087567,347.687463681,Acandlehold17.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-324.079234913,257.337235414,Ababmonit.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-127.973454096,60.6373498618,AANTIRO13.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,10,190.077147286,-249.994453413,ALUNCHBO3.png,ABALLYAR4.png,0,0,1,1.21007467574,164,-269,32.2680710867,1.442042646
1,2,study,1,-231.718148727,213.705024075,ACHEESEGR.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,351.657157743,-176.305762754,Achampagnebo2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-231.718148727,213.705024075,ACHEESEGR.png,26421740.thl.png,1,1,1,1.18990135519,-193,148,76.264311638,1.59387232084
1,2,test1,2,351.657157743,-176.305762754,Achampagnebo2.png,8253370.thl.png,1,1,1,1.40714482171,269,-225,95.934011003,1.47187348781
1,2,test1,12,191.965302836,111.716756855,Acane116.png,26373844.thl.png,1,1,1,1.26434453297,179,55,58.1798039342,1.36626702128
1,2,test1,11,-324.079234913,257.337235414,Ababmonit.png,8255336.thl.png,1,1,1,1.25667334301,-314,228,31.0203861701,1.61741336202
1,2,test1,23,216.990094484,-297.357499898,Agreencup2.png,26432148.thl.png,1,1,1,1.38594975136,201,-247,52.8352242129,1.49766927445
1,2,study,12,-4.77113316213,400.635704333,Asewingpin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,-65.834902934,-194.90226375,AELEAGEN3.png,Aabacus.png,1,1,1,1.33891931549,-113,-182,48.8980039584,1.91059552226
1,2,study,11,-293.933745464,-226.201822041,26442719.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,351.525728106,85.4244918239,AHUNTVES2.png,26374787.thl.png,0,0,1,1.49352484336,401,75,50.5605934427,2.00659985282
1,2,study,10,260.371362895,-205.398591648,ASKIPROP2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,362.500644394,197.161640623,Aclamp62.png,8245419.thl.png,0,0,1,1.26419684524,370,162,35.9524867814,1.75746597536
1,2,test1,25,149.121087567,347.687463681,Acandlehold17.png,26421368.thl.png,1,1,1,1.3369911937,68,383,88.4737592131,1.35965096438
1,2,test1,25,-127.973454096,60.6373498618,AANTIRO13.png,26424291.thl.png,0,0,1,1.16988793528,-161,89,43.5338105061,1.17810901208
1,2,test1,12,-4.77113316213,400.635704333,Asewingpin.png,Abrownbagwith.png,0,0,1,1.16937332693,-3,407,6.60614653282,1.51601855317
1,2,test1,11,-293.933745464,-226.201822041,26442719.thl.png,26423873.thl.png,1,1,1,1.2920295964,-285,-221,10.337831521,1.34245944582
1,2,test1,10,260.371362895,-205.398591648,ASKIPROP2.png,ABOOK23.png,1,1,1,1.1803334537,182,-220,79.7199576513,1.54776265891
1,2,study,1,266.220829019,15.1206223648,26421382.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,-89.7708013539,-337.29246114,ABOWARRO8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,266.220829019,15.1206223648,26421382.thl.png,22869912.thl.png,0,0,1,1.0808636439,256,-25,41.4020492822,1.52378959674
1,2,test1,2,-89.7708013539,-337.29246114,ABOWARRO8.png,8254014.thl.png,1,1,1,1.16933810618,-116,-319,31.9778829223,1.57581631234
1,2,study,24,327.839618894,-29.0003462544,APUTTER.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-203.06075047,106.08614682,Apocketwatch.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-207.365158727,-227.995032014,8020414.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-168.690916454,-370.644224373,airbottle1.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-242.235381553,151.753270619,ADINGHY.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-242.235381553,151.753270619,ADINGHY.png,AFIRSTA15.png,1,1,1,1.10447049234,-237,127,25.3008621658,1.35638536559
1,2,study,23,133.594287313,212.370638002,ACOWCREAM.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,232.254538711,-350.33895999,26772987.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,232.254538711,-350.33895999,26772987.thl.png,ANAPKIN4.png,0,0,1,1.22017428,250,-321,34.2881316153,1.36496369401
1,2,study,24,194.685975584,271.890242888,Awhistl15.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,39.2479359488,-217.037303065,26424478.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
