block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,-159.945767059,-30.8978488861,Adress6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,-374.610079508,95.5264071527,26387690.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-114.798254018,322.830540817,Acompass20.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-162.267830447,29.3846253583,Abasket110.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-162.267830447,29.3846253583,Abasket110.png,Abinocularca3.png,0,0,1,2.38280073414,-169,66,37.2291252521,2.36678893864
1,2,study,1,258.829895699,-264.049031783,Acampingknife.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,61.7871641354,264.534423469,AADDBOOK.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,258.829895699,-264.049031783,Acampingknife.png,23041782.thl.png,1,1,1,1.96322566271,278,-233,36.4902079141,1.81515854504
1,2,test1,2,61.7871641354,264.534423469,AADDBOOK.png,AGLASSCAS.png,0,0,1,1.68353924574,71,338,74.0409837844,2.04167128028
1,2,test1,10,-374.610079508,95.5264071527,26387690.thl.png,26688546.thl.png,0,0,1,2.79675976606,-341,173,84.4499557916,2.52234868938
1,2,study,24,72.5890302246,-270.18587969,ABABYDOLL.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-343.651729247,197.821429054,26434250.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,272.792955831,202.122153137,26434233.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,110.563018266,143.120798185,corkscrew02.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-217.587003556,-142.863989508,8255336.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,110.563018266,143.120798185,corkscrew02.png,Abicycleglove.png,0,0,1,1.49191852147,105,117,26.7066147242,1.92023721151
1,2,study,25,136.408915706,-50.6656224448,Ababycup2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-89.7888181815,-283.342716479,26424075.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,8.37982682355,-375.369916787,ASHAMPO2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,-159.945767059,-30.8978488861,Adress6.png,Anotepad9.png,0,0,1,2.6475361092,-110,-137,117.269971084,1.81823102199
1,2,test1,23,-114.798254018,322.830540817,Acompass20.png,26442809.thl.png,1,1,1,2.01697424706,-88,354,41.105736877,2.14184892597
1,2,study,2,334.310673457,-177.079228103,8253370.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,12,272.792955831,202.122153137,26434233.thl.png,Aabacus.png,0,0,1,1.61151231686,250,264,65.9422987766,1.62331856694
1,2,test1,2,334.310673457,-177.079228103,8253370.thl.png,Achildsplaype.png,1,1,1,1.81268051919,376,-173,41.8884238125,2.03130900627
1,2,study,11,-209.800615157,49.2952386678,ADOGTOY.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,-89.7888181815,-283.342716479,26424075.thl.png,Asewingpin.png,1,1,1,2.43884928664,-161,-149,152.04932715,1.69822707027
1,2,test1,12,8.37982682355,-375.369916787,ASHAMPO2.png,26389125.thl.png,0,0,1,1.86418333882,-2,-375,10.3864162884,1.96954494203
1,2,study,10,208.022365145,265.340203635,Asandal7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,72.5890302246,-270.18587969,ABABYDOLL.png,AHARMONS2.png,0,0,1,1.94508357765,219,-202,161.510019069,2.793276757
1,2,test1,25,-343.651729247,197.821429054,26434250.thl.png,Aboardgame2.png,1,1,1,2.10686478391,-327,193,17.335693382,1.93040367216
1,2,test1,24,-217.587003556,-142.863989508,8255336.thl.png,Aextensionco8.png,1,1,1,2.31594503811,-217,-145,2.2152006674,1.56786790257
1,2,test1,11,-209.800615157,49.2952386678,ADOGTOY.png,AHANDPRE3.png,1,1,1,1.99715376878,-179,-3,60.6915964644,1.79865577677
1,2,test1,25,136.408915706,-50.6656224448,Ababycup2.png,Ababytableand.png,1,1,1,1.54984447733,156,-102,54.9456904841,1.56122344639
1,2,test1,10,208.022365145,265.340203635,Asandal7.png,AFUNNEL4.png,0,0,1,1.59944795724,190,283,25.2324008587,1.7004808709
1,2,study,0,172.509774092,-325.473700281,ACONSTHA2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,172.509774092,-325.473700281,ACONSTHA2.png,ABEERBOT5.png,1,1,1,1.37655095989,173,-331,5.54800054253,2.28732043412
1,2,study,0,-266.926429721,-80.6458679612,ACUSHIO60.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
