block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,156.2782615,60.9194199563,Achampagnebo2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,-348.04311317,7.95364219993,Asandal7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-18.5141812322,304.287549015,ASAFE.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,320.821282352,186.863738271,22925624.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,320.821282352,186.863738271,22925624.thl.png,26426317.thl.png,1,1,1,1.45191340882,162,296,192.704238024,1.22395108046
1,2,study,1,-81.2601648195,-283.683840319,26391514.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,174.304788442,-198.765728653,AADDBOOK.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-81.2601648195,-283.683840319,26391514.thl.png,Aclog6.png,0,0,1,1.69561858615,-112,-309,39.8226745453,1.39139919402
1,2,test1,2,174.304788442,-198.765728653,AADDBOOK.png,22869912.thl.png,0,0,1,1.11287626042,223,-210,49.9743182178,0.989220050862
1,2,test1,10,-348.04311317,7.95364219993,Asandal7.png,ACUTLERY5.png,1,1,1,1.11306986061,-362,8,13.956963818,1.26502953935
1,2,study,24,47.0691363498,162.777260532,Ahandbag50.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,103.160516065,182.526134552,Aclock213.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,346.845920973,-150.998722245,26421368.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,205.491201008,112.652674191,8055181.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-240.60915944,-252.535938034,Awhistl15.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,205.491201008,112.652674191,8055181.thl.png,Aantiquecigar.png,0,0,1,1.20870635333,201,97,16.2842591426,1.89665832999
1,2,study,25,202.731833691,-271.372010331,Atoyboxwithb2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,197.914917654,-119.470348838,Adress6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,33.645464291,-178.580182377,26387690.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,156.2782615,60.9194199563,Achampagnebo2.png,Apocketwatch.png,1,1,1,1.27737519739,354,2,206.313799644,1.3478748831
1,2,test1,23,-18.5141812322,304.287549015,ASAFE.png,26374787.thl.png,1,1,1,1.81362692593,24,331,50.2096668331,1.06043625507
1,2,study,2,-39.6382325143,426.068615053,AOTOSCOP5.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,12,346.845920973,-150.998722245,26421368.thl.png,ADOLL69.png,1,1,1,1.37667473871,260,-243,126.516596137,1.53181329905
1,2,test1,2,-39.6382325143,426.068615053,AOTOSCOP5.png,Abasket110.png,0,0,1,1.19366111793,-90,432,50.7098506374,1.17445908778
1,2,study,11,-164.437402264,143.343887756,AWALKER11.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,197.914917654,-119.470348838,Adress6.png,ABALLYAR4.png,1,1,1,1.18791536358,159,-173,66.1800148802,1.81003436947
1,2,test1,12,33.645464291,-178.580182377,26387690.thl.png,AHUNTVES2.png,1,1,1,0.965006204438,26,-141,38.3500095404,1.18062266731
1,2,study,10,61.7071909745,-236.891164604,ABPIECE2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,47.0691363498,162.777260532,Ahandbag50.png,8020414.thl.png,0,0,1,1.59054384741,105,110,78.3672392811,1.75264722644
1,2,test1,25,103.160516065,182.526134552,Aclock213.png,26374055.thl.png,1,1,1,2.12003456184,-356,2,493.374163054,1.2077286056
1,2,test1,24,-240.60915944,-252.535938034,Awhistl15.png,Ababmonit.png,1,1,1,1.00126996881,-309,-153,120.767172827,1.41357419896
1,2,test1,11,-164.437402264,143.343887756,AWALKER11.png,ABEERBOT5.png,1,1,1,1.38634354365,-204,211,78.3744133218,1.44345883816
1,2,test1,25,202.731833691,-271.372010331,Atoyboxwithb2.png,ADIAMCRYS.png,0,0,1,1.50682325673,136,-184,109.940919667,1.20117608155
1,2,test1,10,61.7071909745,-236.891164604,ABPIECE2.png,26440422.thl.png,0,0,1,1.13238530851,65,-200,37.0378268416,1.49882467627
1,2,study,0,147.842970088,-122.96585721,ADINGHY.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,147.842970088,-122.96585721,ADINGHY.png,26687176.thl.png,1,1,1,0.894423768041,150,-118,5.41410342274,1.29369668418
1,2,study,0,406.076435458,-11.2510587001,8248429.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,406.076435458,-11.2510587001,8248429.thl.png,26455183.thl.png,0,0,1,1.06503138901,415,4,17.6698838593,1.779074847
1,2,study,23,43.4074332925,339.225813452,Abooties4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,19.0883509408,-426.416336626,ADRESS2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-362.342550979,-196.701346978,AELECRAZ7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,266.126348826,-68.7498176918,Apowerbar7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,266.126348826,-68.7498176918,Apowerbar7.png,AHARMONS2.png,0,0,1,1.15857510408,197,-117,84.3002502649,1.8084250883
1,2,study,23,-130.578418758,-399.381787976,AELEAGEN3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,44.3563115094,-313.547982108,Arubbergloves.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-355.288674062,219.270708964,Anotepad9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-188.798966128,-309.340372439,8021822.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,134.304798758,-387.362796802,Adice10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-270.270478816,-301.155349521,APUTTER.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,10,19.0883509408,-426.416336626,ADRESS2.png,gameboy.png,1,1,1,1.39140043606,-3,-420,23.0014048045,1.39672702365
1,2,study,1,-176.555490192,357.63465901,Acannedaspa10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,393.631886364,-117.597654677,8052266.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-176.555490192,357.63465901,Acannedaspa10.png,Abicycleglove.png,0,1,0,1.37886731629,-245,331,73.4442372372,1.3960626066
1,2,test1,2,393.631886364,-117.597654677,8052266.thl.png,AFLUTE6.png,1,1,1,1.29200334742,385,-135,19.4255266328,1.69779601507
1,2,test1,12,44.3563115094,-313.547982108,Arubbergloves.png,Arubberducky2.png,0,0,1,1.47659890528,-319,-199,380.984316368,1.30563880538
1,2,test1,11,134.304798758,-387.362796802,Adice10.png,Afloppydisk6.png,0,0,1,0.757677228888,170,-358,46.2203551231,1.10620762396
1,2,test1,23,43.4074332925,339.225813452,Abooties4.png,AFILEFOL4.png,0,0,1,0.870566541795,46,350,11.0817190858,1.85121844173
1,2,study,12,-258.585508856,-19.2486163052,changepurse03.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,-362.342550979,-196.701346978,AELECRAZ7.png,22875816.thl.png,0,0,1,1.90547399898,-349,-177,23.794258538,1.33846045018
1,2,study,11,38.2384507545,243.685588804,Ababseat2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,23,-130.578418758,-399.381787976,AELEAGEN3.png,Aadjustablec2.png,1,1,1,1.45941142843,-261,-261,190.156009889,1.43955639761
1,2,study,10,297.148671183,102.589865175,ASHAMPO2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,24,-355.288674062,219.270708964,Anotepad9.png,ACOOKCUTT.png,0,0,1,1.33368991746,-335,233,24.497422876,1.33941309154
1,2,test1,25,-188.798966128,-309.340372439,8021822.thl.png,Aconchshe.png,1,1,1,0.942572962842,133,192,595.732107275,2.00492145075
1,2,test1,25,-270.270478816,-301.155349521,APUTTER.png,26772987.thl.png,1,1,1,0.992023115396,-239,-195,110.665265902,1.56855845475
1,2,test1,12,-258.585508856,-19.2486163052,changepurse03.png,ASCALE30.png,0,0,1,1.04093112587,-250,-21,8.76232316005,1.92008096422
1,2,test1,11,38.2384507545,243.685588804,Ababseat2.png,Aglass58.png,0,0,1,1.32931744179,66,268,36.9038508599,1.83905486541
1,2,test1,10,297.148671183,102.589865175,ASHAMPO2.png,22822309.thl.png,0,0,1,1.42691847042,275,212,111.629481937,1.35427230573
1,2,study,1,287.661933479,-129.252583423,26424291.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,208.891570489,-6.2815298997,driverlicencepitt.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,287.661933479,-129.252583423,26424291.thl.png,Acompass20.png,0,0,1,1.03086155385,209,-122,78.9955678815,1.57116109831
1,2,test1,2,208.891570489,-6.2815298997,driverlicencepitt.png,AHANDPRE3.png,0,0,1,0.73501278169,157,-10,52.0246298181,1.41817350418
1,2,study,24,-167.179884747,10.8490378471,Abinocularca3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,11,-256.716329663,-121.814452079,Apinkshoe.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,254.606647083,-293.010785895,ACAMLENSE.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,134.143742008,-52.7444561692,23041782.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-102.674664405,129.433888703,ACOMPACT.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-102.674664405,129.433888703,ACOMPACT.png,AKNIFE13.png,0,0,1,1.05428958067,-133,127,30.4228498525,1.01229666325
1,2,study,23,106.247889735,-297.200580881,excedrin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-238.686346145,70.2678165371,Acork6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-238.686346145,70.2678165371,Acork6.png,Agraduationh2.png,0,0,1,1.12178135966,-202,16,65.5048387921,1.02028458216
1,2,study,24,-145.448610227,299.061546486,ACHAIR.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,-319.395437445,-230.598862517,ANAPKIN4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,11,-256.716329663,-121.814452079,Apinkshoe.png,ACUSHIO12.png,1,1,1,1.22112138465,-257,-260,138.185839084,1.53398329951
