block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,303.136911737,126.907300615,26442809.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,270.197738634,-179.869403444,ACURLER.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,-331.142971004,-195.905128778,9815480.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,219.053241333,83.4104280974,26421357.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,219.053241333,83.4104280974,26421357.thl.png,Ababseat2.png,0,0,1,1.73212265223,256,12,80.4021903748,2.05825280352
1,2,study,1,-86.4066390838,-394.776710472,22925624.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,26.6553093395,-409.741894169,dvdmovie.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-86.4066390838,-394.776710472,22925624.thl.png,Acane116.png,0,0,1,1.42480873968,-112,-360,43.1791583314,1.78240502253
1,2,test1,2,26.6553093395,-409.741894169,dvdmovie.png,22908308.thl.png,1,1,1,1.45049100416,53,-402,27.4586899054,1.53466970986
1,2,test1,10,270.197738634,-179.869403444,ACURLER.png,Abrownbagwith.png,1,1,1,1.56861711619,296,-248,72.8528302719,2.22682431713
1,2,study,24,-171.759825781,215.401150095,Abox80.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,136.320145656,-280.43873842,Aextensionco8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-284.734679809,-290.966416056,Aglass58.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,-128.01494994,381.916906337,AFUNNEL4.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-219.578844626,295.386403102,Acprmask2.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,-128.01494994,381.916906337,AFUNNEL4.png,Acork6.png,1,1,1,1.78711223183,-199,326,90.3635863961,1.70480708871
