"block","interEventInt","eventType","lag","studiedX","studiedY","image","lure","targetLeft","respLeft","tafcACC","tafcRT","recalledX","recalledY","recallError","recallRT","pNum","group","ID","delay","recallMissed","notMoved","outBounds","fullObs"
1,0,"study",24,-316.954130153,3.17807793067,"26424443.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"test1",1,286.782875919,235.208847126,"DSCN6303-sm.png","26424291.thl.png",0,0,1,1.86031964049,238,233,48.8328576731,2.45848217327,1,1,101,"short",0,0,0,1
1,0,"study",25,-93.1797223425,-207.568900425,"ABANJO5.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",11,-265.776512883,-302.809787771,"9815480.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",12,-368.310949067,145.299002708,"ACONSTHA2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",23,334.752797422,-40.7828196569,"AFILEFOL4.png","26391514.thl.png",0,0,1,2.20015112776,260,-235,208.106448393,3.94116934761,1,1,101,"long",0,0,0,1
1,0,"test1",23,-151.341129899,-58.5223374417,"26434250.thl.png","Atoyboxwithb2.png",1,1,1,1.15013271943,-134,-51,18.9023899745,1.76086175535,1,1,101,"long",0,0,0,1
1,0,"study",2,39.262093768,-330.806453203,"8248429.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",12,-61.9000708619,311.521221145,"ACOFFPOT3.png","AELEAGEN3.png",1,1,1,1.38751323707,-111,257,73.3714290207,1.98988494836,1,1,101,"medium",0,0,0,1
1,0,"test1",2,39.262093768,-330.806453203,"8248429.thl.png","driverlicencepitt.png",1,1,1,2.08832920156,15,-291,46.6176244631,2.85414904729,1,1,101,"short",0,0,0,1
1,0,"study",11,80.7872453987,-183.738117668,"8021743.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",11,-265.776512883,-302.809787771,"9815480.thl.png","Asandal7.png",0,0,1,1.53514076397,-240,-221,85.7745299703,1.88226384297,1,1,101,"medium",0,0,0,1
1,0,"test1",12,-368.310949067,145.299002708,"ACONSTHA2.png","26432148.thl.png",1,1,1,1.11936953478,-328,139,40.8001231591,1.60548511427,1,1,101,"medium",0,0,0,1
1,0,"study",10,210.478573541,-242.430173019,"AJOYSTIC1.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",24,-94.5322461953,-295.143512114,"AKNIFE13.png","gameboy.png",1,1,1,1.21800339222,-154,-189,121.667000072,1.62158858962,1,1,101,"long",0,0,0,1
1,0,"test1",25,281.31062306,135.814905195,"ACAMLENSE.png","AHANDPRE3.png",1,1,1,1.14396856632,261,15,122.510255597,2.20559078828,1,1,101,"long",0,0,0,1
1,0,"test1",24,-316.954130153,3.17807793067,"26424443.thl.png","26687176.thl.png",0,0,1,1.928627491,-203,-84,143.476691663,1.77708488889,1,1,101,"long",0,0,0,1
1,0,"test1",11,80.7872453987,-183.738117668,"8021743.thl.png","AADDBOOK.png",1,1,1,1.18513171561,132,-164,54.8847840748,1.82141979132,1,1,101,"medium",0,0,0,1
1,0,"test1",25,-93.1797223425,-207.568900425,"ABANJO5.png","AHUNTVES2.png",1,1,1,1.05527753569,-135,-208,41.8224995689,1.55533152539,1,1,101,"long",0,0,0,1
1,0,"test1",10,210.478573541,-242.430173019,"AJOYSTIC1.png","Ahandheldmir3.png",1,1,1,1.11503732204,154,-248,56.752552734,1.80428531952,1,1,101,"medium",0,0,0,1
1,0,"study",0,162.265783337,285.491970286,"Apinkshoe.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",0,162.265783337,285.491970286,"Apinkshoe.png","ALUNCHBO3.png",0,0,1,1.0557929324,196,257,44.1564235944,1.59781755507,1,1,101,"short",0,0,0,1
1,0,"study",0,-26.4765681083,-400.437129234,"Aantiquecigar.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",0,-26.4765681083,-400.437129234,"Aantiquecigar.png","ADIAMCRYS.png",0,0,1,1.01803999301,-130,-308,138.786612509,1.54926861543,1,1,101,"short",0,0,0,1
1,0,"study",23,-319.465576083,-198.825142711,"Aclog6.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",10,141.624130683,360.662170891,"26374787.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",24,8.44643781611,-158.273920998,"26374055.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",0,-33.6193506775,-244.643660804,"B_makeupbag.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",0,-33.6193506775,-244.643660804,"B_makeupbag.png","ACLARINE5.png",0,0,1,0.97619415354,-82,-158,99.2361385103,1.63405528292,1,1,101,"short",0,0,0,1
1,0,"study",23,-339.027540229,-51.5893813672,"AFIREPANT.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",12,126.422017244,-146.987079777,"AELECRAZ7.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",24,-205.201802241,-87.2051383824,"26389125.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",25,17.8386293993,-218.379841845,"Arecordplaye2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",11,140.704227665,218.891603744,"Acamerabag.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",25,165.916520711,-80.7721116621,"Alighter12.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"test1",10,141.624130683,360.662170891,"26374787.thl.png","26423873.thl.png",1,1,1,1.66517051775,119,285,78.9722444477,2.08130413666,1,1,101,"medium",0,0,0,1
1,0,"study",1,-153.015658557,64.8499976436,"22908308.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"study",2,290.443142012,-211.031269755,"Aextensionco8.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",1,-153.015658557,64.8499976436,"22908308.thl.png","26373844.thl.png",0,0,1,1.20454284828,-267,83,115.420330444,1.798279454,1,1,101,"short",0,0,0,1
1,0,"test1",2,290.443142012,-211.031269755,"Aextensionco8.png","Abicyclerepa3.png",0,0,1,1.23900500778,237,-223,54.7669602207,1.92218127195,1,1,101,"short",0,0,0,1
1,0,"test1",12,126.422017244,-146.987079777,"AELECRAZ7.png","Apowerbar7.png",0,0,1,1.35939334147,136,-132,17.7862394536,2.47618531156,1,1,101,"medium",0,0,0,1
1,0,"test1",11,140.704227665,218.891603744,"Acamerabag.png","Abrownbagwith.png",1,1,1,2.53919886891,-297,-140,566.028421684,1.76375233196,1,1,101,"medium",0,0,0,1
1,0,"test1",23,-319.465576083,-198.825142711,"Aclog6.png","Aframe196.png",1,1,1,1.01622758713,-379,-63,148.299753957,2.62681441754,1,1,101,"long",0,0,0,1
1,0,"study",12,205.047509206,-299.232595561,"corkscrew02.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",24,8.44643781611,-158.273920998,"26374055.thl.png","8021410.thl.png",1,1,1,1.29896680359,3,-125,33.7167243882,1.81850128248,1,1,101,"long",0,1,0,0
1,0,"study",11,221.830296263,-146.648155033,"8020414.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",23,-339.027540229,-51.5893813672,"AFIREPANT.png","Aboardgame2.png",1,1,1,1.78819297161,-372,87,142.45771208,1.8388368506,1,1,101,"long",0,0,0,1
1,0,"study",10,419.216787924,0.916224631021,"AARCHERY.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",24,-205.201802241,-87.2051383824,"26389125.thl.png","ACHAIR.png",1,1,1,1.03109322302,-175,-54,44.8857446593,2.11433834396,1,1,101,"long",0,0,0,1
1,0,"test1",25,17.8386293993,-218.379841845,"Arecordplaye2.png","Abasket110.png",0,0,1,2.66676090565,-63,-307,119.951725434,3.83551409096,1,1,101,"long",0,0,0,1
1,0,"test1",25,165.916520711,-80.7721116621,"Alighter12.png","ABLLIGHTB.png",0,0,1,1.1634124117,184,-248,168.202790884,2.13313363399,1,1,101,"long",0,0,0,1
1,0,"test1",12,205.047509206,-299.232595561,"corkscrew02.png","26421382.thl.png",0,0,1,1.15654353704,122,-325,86.9531363258,2.75980406906,1,1,101,"medium",0,0,0,1
1,0,"test1",11,221.830296263,-146.648155033,"8020414.thl.png","26772987.thl.png",1,1,1,1.52288494259,214,-127,21.1509700899,3.06542781927,1,1,101,"medium",0,0,0,1
1,0,"test1",10,419.216787924,0.916224631021,"AARCHERY.png","AGLASSCAS.png",0,0,1,0.910469286144,414,-11,13.0081238349,1.72318624333,1,1,101,"medium",0,0,0,1
1,0,"study",1,-24.8331387406,167.580806022,"AWALKER11.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"study",2,-214.904259802,-167.75511033,"Acork6.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",1,-24.8331387406,167.580806022,"AWALKER11.png","Acompass20.png",1,1,1,0.926644576713,-62,176,38.1085082772,1.26663685963,1,1,101,"short",0,0,0,1
1,0,"test1",2,-214.904259802,-167.75511033,"Acork6.png","ACUTLERY5.png",0,0,1,0.91567567084,-164,-136,59.9969224043,2.5975117553,1,1,101,"short",0,0,0,1
1,0,"study",24,369.757892553,94.4691196153,"AANTFRYI2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",11,111.984601938,-240.707716665,"ALACES4.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",25,317.866287284,-162.279682189,"AFOODBLEN.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",12,-360.113022887,-228.193045644,"26377777.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"study",0,-99.3870082281,150.189585796,"26424087.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",0,-99.3870082281,150.189585796,"26424087.thl.png","Atennisball2.png",0,0,1,1.15104524791,-157,121,64.5855149384,1.50780076999,1,1,101,"short",0,0,0,1
1,0,"study",23,-190.933871472,211.925968101,"Abicycleshoe.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",0,411.864678885,-110.734828653,"Adice10.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",0,411.864678885,-110.734828653,"Adice10.png","26455183.thl.png",1,1,1,1.0104421135,407,-141,30.6536408489,2.00676037371,1,1,101,"short",0,0,1,0
1,0,"study",24,-264.357961028,85.1903891318,"26434233.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",25,188.896126166,145.477256687,"ABABYDOLL.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"test1",11,111.984601938,-240.707716665,"ALACES4.png","ASAFE.png",1,1,1,1.0458826907,107,-245,6.57799002056,2.94731993508,1,1,101,"medium",0,0,0,1
1,0,"study",2,-134.646067259,-145.869411182,"Acane116.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",12,-360.113022887,-228.193045644,"26377777.thl.png","AFIRSTA15.png",1,1,1,2.60775423795,-287,-153,104.878540364,2.39712574892,1,1,101,"medium",0,0,0,1
1,0,"test1",2,-134.646067259,-145.869411182,"Acane116.png","Aboots56.png",1,1,1,1.61634777207,-122,-115,33.3593100025,1.71916327532,1,1,101,"short",0,0,0,1
1,0,"study",23,278.994901208,48.9757529969,"23041782.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
1,0,"study",1,-31.5964657413,-295.147953426,"ASCALE30.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"study",10,-381.22932794,61.725348325,"26424075.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",1,-31.5964657413,-295.147953426,"ASCALE30.png","8021822.thl.png",1,1,1,2.34991852753,-85,-278,56.0891235269,2.10082731955,1,1,101,"short",0,0,0,1
1,0,"test1",24,369.757892553,94.4691196153,"AANTFRYI2.png","Apairofrubbe3.png",1,1,1,1.56568349712,371,-3,97.4770337541,3.65291410033,1,1,101,"long",0,0,0,1
1,0,"study",12,-80.0216651877,388.257763639,"Agardeningrak.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",25,317.866287284,-162.279682189,"AFOODBLEN.png","Ababycup2.png",0,0,1,1.73679243866,108,-207,214.578110168,1.81787113007,1,1,101,"long",0,0,0,1
1,0,"study",11,-265.537654683,-184.157633577,"ATOILBAG2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",23,-190.933871472,211.925968101,"Abicycleshoe.png","8052266.thl.png",1,1,1,1.67566485982,-163,149,68.8475027646,2.17180888448,1,1,101,"long",0,0,0,1
1,0,"test1",10,-381.22932794,61.725348325,"26424075.thl.png","8254014.thl.png",0,0,1,1.1587135084,-425,3,73.243008325,2.76234554686,1,1,101,"medium",0,0,0,1
1,0,"study",10,-146.257113405,-242.501965696,"ACURLRIB2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
1,0,"test1",24,-264.357961028,85.1903891318,"26434233.thl.png","Ababseat2.png",1,1,1,1.33407803718,-171,128,102.705266028,1.78629336134,1,1,101,"long",0,0,0,1
1,0,"test1",25,188.896126166,145.477256687,"ABABYDOLL.png","A100FRAN3.png",1,1,1,2.02658606041,53,181,140.462174266,2.43260552455,1,1,101,"long",0,0,0,1
1,0,"test1",12,-80.0216651877,388.257763639,"Agardeningrak.png","Aelectronicg9.png",1,1,1,2.67175850272,228,-95,573.075398479,2.89698343258,1,1,101,"medium",0,0,0,1
1,0,"test1",11,-265.537654683,-184.157633577,"ATOILBAG2.png","Acampingknife.png",1,1,1,1.56443731952,-84,-222,185.439922251,3.18316330854,1,1,101,"medium",0,0,0,1
1,0,"test1",23,278.994901208,48.9757529969,"23041782.thl.png","ACOMPACT.png",1,1,1,1.08196987491,317,-7,67.6584987843,2.4599778587,1,1,101,"long",0,0,0,1
1,0,"test1",10,-146.257113405,-242.501965696,"ACURLRIB2.png","Aboxofchocola.png",1,1,1,1.13797216211,-176,-254,31.8879929734,1.47346239537,1,1,101,"medium",0,0,0,1
1,0,"study",1,-166.87803086,351.762318571,"Awhistl15.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"study",2,142.989267621,-1.67273212547,"excedrin.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
1,0,"test1",1,-166.87803086,351.762318571,"Awhistl15.png","8021504.thl.png",0,0,1,1.12567583658,-225,277,94.6972416437,1.91273552552,1,1,101,"short",0,0,0,1
1,0,"test1",2,142.989267621,-1.67273212547,"excedrin.png","Acprmask2.png",1,1,1,1.13107896689,156,-12,16.6111895657,1.93539551925,1,1,101,"short",0,0,0,1
2,2,"study",10,-251.116857874,39.2994720391,"8031659.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",2,-293.42931358,-309.362048587,"Achampagnebo2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"study",25,-150.093192294,-81.4033565813,"26433849.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",12,264.635576952,80.021828852,"Asewingpin.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"test1",2,-293.42931358,-309.362048587,"Achampagnebo2.png","26428057.thl.png",1,1,1,1.73828667589,-278,-262,49.8119198976,1.90346803796,1,1,101,"short",0,0,0,1
2,2,"study",1,357.696694251,116.579000262,"Arubberducky2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"study",24,-53.8582806425,232.044050711,"8079436.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"test1",1,357.696694251,116.579000262,"Arubberducky2.png","Abeany2.png",0,0,1,1.11713562254,361,78,38.7201638695,1.58426997159,1,1,101,"short",0,0,0,1
2,2,"study",10,-63.1811783016,-368.166854501,"ADRUM12.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"test1",10,-251.116857874,39.2994720391,"8031659.thl.png","Afloppydisk6.png",1,1,1,1.70482990984,-257,-85,124.438619851,2.21237267926,1,1,101,"medium",0,0,0,1
2,2,"study",12,-129.020135123,-268.194233292,"26466258.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",23,-309.142439126,-71.8194994627,"8257947.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",24,-263.848896746,-47.2371301169,"26440422.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"test1",12,264.635576952,80.021828852,"Asewingpin.png","8255336.thl.png",0,0,1,1.39690386318,282,4,77.9797515371,2.33048056439,1,1,101,"medium",0,0,0,1
2,2,"study",11,330.976639503,53.541785901,"26424133.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",25,-187.170696379,235.055149335,"ACOWCREAM.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",2,-23.1116307911,348.480165564,"AMASCARA.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"test1",10,-63.1811783016,-368.166854501,"ADRUM12.png","26373407.thl.png",0,0,1,1.43481779844,-118,-368,54.819075629,1.74346604105,1,1,101,"medium",0,0,0,1
2,2,"test1",2,-23.1116307911,348.480165564,"AMASCARA.png","ADOLL69.png",1,1,1,1.20371629857,36,317,66.9715291649,2.10099338368,1,1,101,"short",0,0,0,1
2,2,"study",23,1.43556271866,245.009397298,"8245419.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"test1",12,-129.020135123,-268.194233292,"26466258.thl.png","26426317.thl.png",1,1,1,1.07004255615,-114,-300,35.1740139161,1.4623784991,1,1,101,"medium",0,0,0,1
2,2,"test1",25,-150.093192294,-81.4033565813,"26433849.thl.png","Abox80.png",0,0,1,1.73451801948,-158,-82,7.92928694545,2.2478840109,1,1,101,"long",0,0,0,1
2,2,"test1",11,330.976639503,53.541785901,"26424133.thl.png","Aelectronicor.png",1,1,1,1.11227167118,290,93,56.8861639136,1.36188423354,1,1,101,"medium",0,0,0,1
2,2,"test1",24,-53.8582806425,232.044050711,"8079436.thl.png","Abandleaders2.png",1,1,1,0.833417728543,-108,277,70.3730285793,1.03432668652,1,1,101,"long",0,0,0,1
2,2,"study",1,406.863506806,-106.411754384,"Acompactdisc2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"study",11,407.159574117,73.4031385075,"ALOOFA.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"test1",1,406.863506806,-106.411754384,"Acompactdisc2.png","Aclamp62.png",1,1,1,1.48463782854,366,-190,93.0420388517,3.76857770793,1,1,101,"short",0,0,0,1
2,2,"test1",23,-309.142439126,-71.8194994627,"8257947.thl.png","8253370.thl.png",0,0,1,2.48662818875,-247,-71,62.1478424393,2.12342764996,1,1,101,"long",0,0,0,1
2,2,"test1",24,-263.848896746,-47.2371301169,"26440422.thl.png","Apocketwatch.png",0,0,1,1.89488639589,-228,89,140.874763604,2.36512533948,1,1,101,"long",0,0,0,1
2,2,"study",0,-370.678721033,-59.4851976983,"22869912.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"test1",0,-370.678721033,-59.4851976983,"22869912.thl.png","26421368.thl.png",0,0,1,1.12128407694,-334,-56,36.8439300239,2.33794336952,1,1,101,"short",0,0,0,1
2,2,"test1",25,-187.170696379,235.055149335,"ACOWCREAM.png","Acannedaspa10.png",0,0,1,1.24977743439,-149,310,84.1054855721,2.21575203445,1,1,101,"long",0,0,0,1
2,2,"test1",11,407.159574117,73.4031385075,"ALOOFA.png","ACOOKCUTT.png",0,0,1,1.89800520614,140,-182,369.601137988,2.58034586534,1,1,101,"medium",0,0,0,1
2,2,"test1",23,1.43556271866,245.009397298,"8245419.thl.png","ANAPKIN4.png",0,0,1,1.89174840692,170,179,181.028202354,1.88739955798,1,1,101,"long",0,0,0,1
2,2,"study",0,96.7028142743,-231.555393311,"Aadjustablec2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"test1",0,96.7028142743,-231.555393311,"Aadjustablec2.png","Aconchshe.png",0,0,1,1.09353832807,152,-235,55.4043686402,1.76179657783,1,1,101,"short",0,0,0,1
2,2,"study",25,-88.302243793,387.421496087,"Adress6.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",11,410.747154192,-24.5130003903,"26421740.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",12,-118.986047606,252.563255284,"ADOGTOY.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",1,107.250457641,-112.033008523,"22910996.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"study",23,187.962410843,46.7577925409,"ADRESS2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"test1",1,107.250457641,-112.033008523,"22910996.thl.png","26375641.thl.png",0,0,1,1.34251784533,134,-145,42.4542170278,2.3501232015,1,1,101,"short",0,0,0,1
2,2,"study",24,-317.590196606,-144.647204099,"22822309.thl.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",10,165.77279333,145.33176961,"ACUSHIO60.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
2,2,"study",1,101.669233727,126.777892441,"AARROWS2.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"short",1,NA,NA,0
2,2,"study",23,-233.430314099,-273.897386644,"AMAKEUPMI.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"test1",1,101.669233727,126.777892441,"AARROWS2.png","ABIKLIGHT.png",0,0,1,2.36378586479,142,99,48.9712366255,2.41810271982,1,1,101,"short",0,0,0,1
2,2,"test1",11,410.747154192,-24.5130003903,"26421740.thl.png","26378596.thl.png",1,1,1,1.69304614328,356,-138,126.002182412,2.24204556644,1,1,101,"medium",0,0,0,1
2,2,"test1",12,-118.986047606,252.563255284,"ADOGTOY.png","dvdmovie.png",0,0,1,1.55820129253,-145,143,112.609203121,1.99585674424,1,1,101,"medium",0,0,0,1
2,2,"study",24,-381.955450566,177.634725098,"ABOOK23.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"long",1,NA,NA,0
2,2,"study",11,-63.1085938752,-148.937802662,"AAGATE.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,101,"medium",1,NA,NA,0
