block, interEventInt, eventType, lag, studiedX, studiedY, image, lure, targetLeft, respLeft, tafcACC, tafcRT, recalledX, recalledY, recallError, recallRT
1,2,study,23,-265.680851571,-53.5049954632,26375641.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,10,369.893512049,-17.4605530219,8052266.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,23,297.897809257,-257.668993097,26373844.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,0,-188.135020203,347.587496403,gameboy.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,0,-188.135020203,347.587496403,gameboy.png,Acompactdisc2.png,0,0,1,1.80576946214,-210,337,24.2934645863,1.58112622937
1,2,study,1,112.054372668,377.163249165,Abox80.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,2,-36.4271305039,-341.622178733,22911908.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,test1,1,112.054372668,377.163249165,Abox80.png,AJOYSTIC1.png,1,1,1,2.02446148172,145,362,36.2675955304,1.8391367048
1,2,test1,2,-36.4271305039,-341.622178733,22911908.thl.png,26434250.thl.png,0,0,1,2.08237398835,-46,-403,62.1198581286,2.52844725037
1,2,test1,10,369.893512049,-17.4605530219,8052266.thl.png,AFIREPANT.png,0,0,1,1.45902533177,386,5,27.6386576407,2.09637941979
1,2,study,24,-200.985480259,117.544634338,ABLLIGHTB.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,25,195.411998289,7.26897084495,26378596.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,12,-292.006958941,-138.891058981,8253370.thl.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,1,-53.5998217067,241.050611054,Aglasscontai3.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,study,24,-140.857454595,30.4474156323,Apocketwatch.png,NA,NA,NA,NA,NA,NA,NA,NA,NA
