block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,238.140904167,250.974607343,AWINTSOC2.png,210,269,33.4189357663,2.59106998518,4,2.852
1,1,-334.007253498,-51.3848921094,Ahotwaterbot2.png,-347,-187,136.236078004,3.066167349,3,2.067
1,2,365.650200264,204.166723081,AFISHNET3.png,334,192,33.9081749326,2.42405463196,5,1.577
1,10,-189.110409561,260.265798535,ACASSETT2.png,-301,272,112.503208543,2.90763083845,4,2.444
1,1,-277.488340088,220.844534056,Acamera101.png,344,-38,673.237142229,3.69733153656,2,1.975
1,23,-372.149254334,19.4433970043,ANAILFILE.png,328,34,700.300559071,4.94204524532,1,1.765
1,23,302.577602298,292.489171016,26422507.thl.png,-316,222,622.580896989,5.00018941425,3,2.44
1,12,137.700528701,71.2205091083,ABROKUMBR.png,365,109,230.417750151,2.9118922092,3,1.006
1,2,-45.0966715406,413.385641927,26440756.thl.png,-182,388,139.237035875,3.00046478398,5,1.777
1,11,-243.721660832,-298.548871874,AANTHAT2.png,-217,-356,63.3614968309,1.77842472494,5,1.809
1,12,246.232687735,-171.829526048,Ascarf7.png,302,-199,62.0340855663,1.98208080046,4,2.141
1,24,155.646391903,-21.1284292239,Aspoolofthre6.png,73,28,96.1458717401,5.0098071266,2,2.091
1,25,330.87059264,-91.6999645824,Aflashlight3.png,360,-41,58.4722907177,4.11389587447,2,1.32
1,24,267.23193673,156.275361839,8244991.thl.png,292,160,25.0465544057,3.51328559034,3,3.409
1,11,234.240172666,-334.589652287,ACOMB11.png,319,-264,110.304702256,2.35607064329,4,1.282
1,25,200.068398798,-76.0144852345,26375982.thl.png,366,-135,176.103910318,4.27395807765,2,1.917
1,10,246.656711962,-248.76155773,22949719.thl.png,291,-154,104.623515604,2.34921741113,5,1.434
1,0,-194.619663184,114.485561078,Aelasticbands.png,-203,136,23.0889828121,2.14523108862,5,2.106
1,0,-45.7983387983,-221.673093792,Alock34.png,-68,-302,83.3386202251,2.61875737831,5,1.558
1,0,-72.926125864,236.179986327,Apaperclip6.png,-121,225,49.3567570725,2.64882487804,4,1.069
1,10,394.778947824,76.7483668916,ACOMPAS20.png,315,34,90.5102391326,2.59048962966,4,1.753
1,1,183.438281508,-224.475838648,Adiamondring3.png,264,-198,84.8007106017,2.68294131942,4,4.128
