block, lag, studiedX, studiedY, image, recalledX, recalledY, recallError, recallRT, conf, confRT
1,0,-91.6511613282,418.197685848,Abikinitop5.png,-98,402,17.3974934783,2.38333508372,5,1.324
1,1,-82.6368819619,175.112250693,Aelasticbands.png,-73,208,34.2705930558,4.51401173137,5,0.92
1,2,-177.302333255,263.5514428,Aashtray67.png,-170,268,8.55065682397,3.06612119265,5,0.71
1,10,-188.63391981,354.865775719,Ahotwaterbot2.png,-223,343,36.3568989468,2.11674351431,5,1.072
1,1,-301.14929527,282.967579592,APOWEDCAS.png,-322,206,79.7418346666,2.07282344066,5,1.896
1,23,-234.341479682,72.9143794057,26418207.thl.png,-149,-47,147.18229018,4.4535603784,4,0.869
1,23,-21.5677188515,291.380678885,26432899.thl.png,-10,226,66.396124065,2.194776766,5,0.988
1,12,-1.6194075844,244.617187458,Aspoolofthre6.png,-7,243,5.61836898196,3.89566797018,5,0.846
1,2,136.883867062,132.085435649,26687325.thl.png,160,133,23.1342177293,1.67628409527,5,0.772
1,11,-419.672875212,-71.4164472204,Aflashlight3.png,-366,-147,92.7019470363,1.88221604005,5,0.624
1,12,220.120526576,128.875391266,Anailbrush3.png,225,90,39.1804199437,1.89134681597,5,3.41
1,24,202.361098687,191.019093866,ADOGLEAS2.png,211,158,34.1305021298,2.77198851109,4,1.209
1,25,-199.836375611,-31.0921543511,8245563.thl.png,-174,-53,33.8743561664,3.62070372701,5,1.463
1,24,346.387140968,141.871055568,Abandage3.png,401,5,147.364345158,3.67685488053,5,1.211
1,11,-6.53467326059,-282.874695904,Abottleopener.png,-31,-383,103.070988803,3.99343881942,5,0.888
1,25,14.9763381699,-159.010058601,ACOLOGNE.png,55,-215,68.8241748529,3.32543123141,5,1.193
1,10,46.3098798208,-399.597946674,A52ZX.png,95,-397,48.759379918,2.64517078362,5,1.06
1,0,-344.492282191,120.899836579,AKNEEBRA2.png,-335,128,11.8539336005,2.51967414096,5,0.951
1,0,-31.2696615146,203.030511015,8080484.thl.png,-45,218,20.3127495771,1.72974637896,5,0.696
1,0,280.61001129,55.2774416763,Aearsyringe.png,243,59,37.7937877136,1.99925367162,5,1.158
1,10,-98.9277899323,101.652116925,ADECKCARD.png,-117,85,24.5743316247,1.99898416363,5,0.782
1,1,-252.342846151,-223.799627841,26444138.thl.png,-226,-303,83.4664273433,3.28179011121,4,0.757
1,2,369.905031118,216.270418519,A_teabag.png,347,239,32.2687825126,3.77877477184,5,1.733
1,12,-402.197250637,15.9401938192,8026164.thl.png,-373,-125,143.932684539,2.20901447535,5,0.896
1,11,-19.2854401247,363.617968847,Ahighlightin2.png,-9,398,35.8875235248,3.03754494525,5,1.269
1,23,-142.622138583,382.996736013,Atoothbrush3.png,-178,391,36.2718253318,2.32389356568,5,1.414
1,24,337.709486824,260.024781077,8023968.thl.png,332,227,33.5146893909,1.74996095337,5,0.675
1,23,264.991488305,-100.961464611,26439297.thl.png,244,-73,34.9640684768,3.13595160842,4,0.581
1,24,-291.021609885,-290.651770961,ABLUCAND5.png,-301,-254,37.9857945006,4.94455389492,4,1.999
1,25,-312.813897722,-159.841142153,Acamera101.png,-280,-137,39.980866156,3.60361876339,4,0.513
1,25,35.7471667124,401.413444234,ACASSETT2.png,30,408,8.74143249604,4.00454195961,5,1.114
1,12,231.668356303,262.74951635,Aspraybottle4.png,200,208,63.248670591,1.39116914198,5,0.728
1,11,-59.5283670894,-396.878935136,Afloweredsan3.png,-146,-351,97.8888144145,3.11438688077,5,2.321
1,10,-318.007513708,64.0392372008,26424973.thl.png,-359,-11,85.5059708562,2.74598424323,5,1.683
1,1,-268.52314658,-104.788741499,Apaperclip6.png,-256,-88,20.9449526469,4.45490167849,5,0.88
1,2,-55.8448455487,-147.484381254,26432607.thl.png,-63,-145,7.57419206501,2.57398981601,5,1.04
1,0,-138.617989798,44.0337187761,Ascarf7.png,-128,54,14.5625708165,1.42976044491,5,1.009
1,0,243.118310035,-269.553618776,Adiamondring3.png,237,-259,12.198876463,2.34546368197,5,1.044
1,11,-368.108132251,-37.4304636333,26440756.thl.png,-317,-6,59.9992935491,3.13238837011,5,0.702
1,12,-79.2018156848,325.969375325,A1OCLOC2.png,-169,229,132.161922115,1.50104652531,5,0.474
1,2,287.5686442,203.494144031,A4DOMINO.png,797,-490,860.496620608,NA,NA,NA
1,1,201.305702445,15.6054719979,AANTHAT2.png,198,20,5.49904946451,2.55463456362,5,0.737
1,24,193.856726071,-185.419554326,Apants8.png,205,-190,12.0479473951,2.05673952587,5,0.849
1,25,189.849207012,-309.433504836,AFISHHOO9.png,200,-274,36.8588098461,1.85983827151,5,0.654
1,23,146.507655592,-121.182708361,26422507.thl.png,131,-143,26.7671738596,1.57394960709,5,0.775
1,10,1.36177960351,-216.127268396,ABROKUMBR.png,116,235,465.46507266,4.92807857692,3,1.062
1,24,67.2395993403,160.846228951,Abaseballcap.png,80,145,20.3452893062,3.00786017254,5,1.202
1,25,-131.626097049,301.060664574,ANAILFILE.png,-200,262,78.7446894824,2.34511361457,5,1.268
1,12,52.6508595645,-312.228845775,Alock34.png,42,-294,21.1123572286,2.43116908707,5,1.954
1,11,-160.183147998,120.087189342,Atennisball2.png,-292,182,145.632683816,2.00832820497,4,0.723
1,23,7.90965453514,158.283580823,Anailpolish.png,2,188,30.2983429489,2.17273590155,5,1.103
1,10,-241.888929266,290.11528388,Aflask19.png,-246,266,24.4631931515,3.43732290156,5,1.017
1,1,128.040335276,224.864031101,Ajacket12.png,163,236,36.6904341889,2.57336623222,5,2.563
1,2,-373.186018827,-170.184565192,Agreenlighter.png,-319,-229,79.971119837,1.57927347906,5,0.598
2,2,273.370012172,-56.8840929011,8048786.thl.png,249,-29,37.0326900209,1.37141919881,5,1.226
2,1,-192.790121076,218.882715957,ASTAMPS.png,-200,217,7.45164233427,4.10988173634,5,1.048
2,10,-52.2874110038,164.243022942,ABABYPIN2.png,-65,132,34.658656169,1.2879854925,5,0.814
2,12,-315.706638417,276.077778894,26387436.thl.png,-321,216,60.3105230756,1.41993141919,5,0.878
2,10,-293.918451829,219.147360695,Aairtank7.png,-374,-55,285.604323731,1.75980592705,3,1.036
2,2,257.206324478,-155.16771851,ACOMB11.png,222,-173,39.4648647077,1.73503640294,4,0.607
2,12,-293.675020606,60.3808735308,Ablanket2.png,-345,-136,202.977094763,2.18655057997,4,0.842
2,25,69.1004419749,261.099555972,Aruler12.png,95,300,46.7336244207,3.21440990642,5,0.904
2,11,-255.050450921,-40.7459123284,ABLACSUI3.png,-225,-121,85.6956719359,2.52371527441,5,3.06
2,24,20.0457513863,289.402388568,ADANGEAR5.png,3,270,25.826542983,2.12498558685,5,0.912
2,1,55.4997558914,-229.62588284,Abinder6.png,135,-254,83.1527894943,1.79204574414,5,0.71
2,23,-54.6378534888,-228.914835135,ACUPEANE2.png,-91,-202,45.2395186674,2.41556770355,5,0.8
2,24,286.78747395,174.406455089,22925228.thl.png,273,162,18.5476296543,2.428610906,5,0.798
2,0,372.315330249,179.186929403,ABISHOP2.png,360,192,17.7719480434,2.25055156648,5,0.626
2,25,-189.820351388,374.272271478,ACANE2.png,-156,373,33.8442734106,1.5884450376,4,0.754
2,11,373.61675913,-47.1475202647,Athermosand12.png,382,-22,26.5080460041,2.45642927848,5,2.139
2,23,324.018182013,-124.23247283,Adayplanner.png,282,-169,61.3975496954,1.64350714162,5,0.696
2,0,-342.267777693,-75.3139579802,Agluegun.png,-333,-90,17.365815085,1.68557865731,5,0.944
2,1,82.4552258737,379.348459298,Ababybottle15.png,35,401,52.1611702083,2.01999505796,5,1.101
2,1,130.484345012,-221.768112046,ATIE16.png,109,-167,58.8313112009,1.72106617689,5,1.141
2,11,-192.035354995,-224.350518219,26432848.thl.png,-225,-222,33.0483396889,2.87865429558,5,1.801
2,12,-95.6561161196,-152.840874698,ACOMPAS20.png,-133,-138,40.1847884785,1.9694177825,5,0.995
2,10,-132.173809097,-388.532434068,8244991.thl.png,-151,-324,67.2224702809,1.67766909674,4,0.508
2,2,60.2790942776,-151.980462061,Asafetybelt.png,94,-134,38.2151344192,1.8090770524,5,0.81
2,25,-30.1510655252,369.817456762,Aclothespin2.png,-160,305,145.127697168,3.39466481842,5,1.734
2,23,228.68229993,-334.365349687,26687931.thl.png,179,-308,56.2446672181,3.28830768541,5,0.776
2,11,-322.841164702,166.106999154,22949719.thl.png,-316,73,93.3579928338,2.74916549772,5,0.787
2,24,281.772091861,-309.476835678,AAXE4.png,266,-307,15.9653874567,1.96256534755,5,0.512
2,23,187.599072321,-288.28061721,26372785.thl.png,194,-249,39.7987281651,2.08429356664,5,0.921
2,12,-35.6872812274,-360.888865613,045.png,-82,-291,83.8410487581,1.86545589939,4,0.83
2,0,157.742535434,118.414625984,8250565.thl.png,140,138,26.4269642403,2.64682533965,5,0.669
2,24,-131.938876025,234.708970634,AWINTSOC2.png,-150,154,82.705151835,3.08829185553,5,0.854
2,0,337.551704379,-254.985233756,Ablouse2.png,333,-238,17.5845437392,1.91377084143,5,1.926
2,25,225.286175311,36.3788594185,Anailscissors.png,160,32,65.4328594552,2.1082723327,5,3.957
2,2,229.902655867,308.926049264,Athimble2.png,230,296,12.9264158009,2.20294911042,5,0.774
2,10,-112.530874896,108.497322246,Awatch28.png,-116,104,5.67985355225,2.84627904743,5,3.247
2,1,-263.88427999,-310.929594195,Alipstick3.png,-288,-256,59.9902347886,1.87506605871,5,1.408
2,2,322.184347755,101.882297715,AKEYHOL10.png,349,81,33.9874912756,1.40838689916,5,0.571
2,10,30.6653937592,-387.647483578,APLASCONT.png,22,-349,39.6070326576,3.97360540554,4,2.743
2,11,-140.851724968,13.1239247022,23029830.thl.png,-128,-3,20.6191120676,2.25113117695,5,0.933
2,11,-365.217207967,-178.088252735,Agarbagebag.png,-325,-165,42.2933348925,1.54850762524,5,1.0
2,12,-352.014688528,-15.0795070905,26425322.thl.png,-328,-9,24.7722762695,3.76663909666,5,1.005
2,23,341.037095459,39.7711420314,AFISHNET3.png,370,10,41.5351746995,2.70079585537,5,0.594
2,25,-206.556048082,282.78879966,26685948.thl.png,-179,298,31.4756477566,1.9851222802,5,0.96
2,2,178.838370941,225.285278091,Alanter59.png,215,164,71.1586166735,1.70202374831,5,1.104
2,0,108.882706208,93.5528510887,26375982.thl.png,110,91,2.78664567168,2.59500664473,5,2.268
2,24,-258.747760777,324.600959698,Adecorati133.png,-289,289,46.7185863383,1.95664872415,5,2.237
2,1,89.5531363731,323.190714532,Ashovel8.png,118,315,29.6025650031,1.63992514834,4,1.239
2,25,43.178661469,-332.794879801,8059226.thl.png,178,-345,135.372664458,2.27311402932,5,1.806
2,24,-81.2706130239,387.987189612,Aenvelope2.png,-111,358,42.2263897437,1.70736967772,5,0.802
2,23,140.475765227,388.822094635,Akazoo2.png,224,367,86.3278727221,3.79231892154,5,1.935
2,12,7.23700865418,-163.415574086,26433942.thl.png,1,-147,17.560505389,3.51263297908,5,1.717
2,10,-220.52033013,-115.120982253,Abackpack11.png,-230,-118,9.90721373718,2.19029767625,4,0.831
2,0,-281.54527333,132.520371917,8079958.thl.png,-252,124,30.7493075327,1.61185532436,5,0.891
